second_level_domain,top_level_domain,ip_address,status,timestamp
ari,com,48.217.236.60,Active,2025-09-26 12:23:59
arl,com,70.32.66.129,Active,2025-09-26 12:23:59
aiz,com,90.156.201.79,90.156.201.86,90.156.201.34,90.156.201.113,Active,2025-09-26 12:23:59
aro,com,13.56.33.8,Active,2025-09-26 12:23:59
ars,com,162.159.140.127,Active,2025-09-26 12:23:59
arq,com,138.197.42.235,Active,2025-09-26 12:23:59
arm,com,217.140.110.36,Active,2025-09-26 12:23:59
arp,com,178.249.85.6,Active,2025-09-26 12:23:59
arw,com,52.234.0.82,Active,2025-09-26 12:23:59
arv,com,86.105.245.69,Active,2025-09-26 12:23:59
ar0,com,167.86.112.193,Active,2025-09-26 12:23:59
ary,com,76.237.80.4,Active,2025-09-26 12:24:00
ar4,com,162.213.251.104,Active,2025-09-26 12:24:00
arx,com,54.149.217.243,35.155.251.136,44.242.40.215,Active,2025-09-26 12:24:00
arr,com,54.215.31.113,Active,2025-09-26 12:24:00
ar3,com,15.197.148.33,3.33.130.190,Active,2025-09-26 12:24:00
ar2,com,149.28.227.54,45.77.78.25,Active,2025-09-26 12:24:00
ar1,com,205.178.189.131,Active,2025-09-26 12:24:00
arz,com,199.59.243.228,Active,2025-09-26 12:24:00
ar6,com,166.117.110.61,99.83.161.153,Active,2025-09-26 12:24:00
asa,com,191.233.203.33,Active,2025-09-26 12:24:00
asc,com,23.227.38.65,Active,2025-09-26 12:24:00
an2,com,139.162.174.209,139.162.181.76,172.104.251.198,172.104.149.86,Active,2025-09-26 12:24:00
ar7,com,34.123.105.222,Active,2025-09-26 12:24:00
ar5,com,205.178.189.129,Active,2025-09-26 12:24:01
asg,com,96.45.82.175,96.45.83.67,96.45.83.226,96.45.82.116,Active,2025-09-26 12:24:01
ash,com,76.76.21.21,Active,2025-09-26 12:24:01
ar9,com,103.233.255.49,Active,2025-09-26 12:24:01
asd,com,198.46.84.198,Active,2025-09-26 12:24:01
asf,com,40.71.218.172,Active,2025-09-26 12:24:01
ase,com,23.253.146.205,Active,2025-09-26 12:24:01
ask,com,199.232.46.114,Active,2025-09-26 12:24:01
asi,com,66.6.123.194,Active,2025-09-26 12:24:01
asq,com,52.220.217.108,Active,2025-09-26 12:24:01
asp,com,34.216.13.220,52.88.54.90,Active,2025-09-26 12:24:01
aru,com,185.53.177.52,Active,2025-09-26 12:24:01
asr,com,192.241.197.23,Active,2025-09-26 12:24:02
asm,com,20.105.232.9,Active,2025-09-26 12:24:02
aso,com,207.207.49.83,Active,2025-09-26 12:24:02
ass,com,104.143.9.211,104.143.9.210,Active,2025-09-26 12:24:02
ast,com,54.91.149.176,Active,2025-09-26 12:24:02
asz,com,99.83.161.153,166.117.110.61,Active,2025-09-26 12:24:02
asv,com,35.212.78.206,Active,2025-09-26 12:24:02
as1,com,64.190.63.222,Active,2025-09-26 12:24:02
as0,com,64.190.63.222,Active,2025-09-26 12:24:02
aqu,com,104.21.61.65,172.67.206.242,Active,2025-09-26 12:24:02
as2,com,35.209.162.63,Active,2025-09-26 12:24:02
as4,com,209.237.150.20,Active,2025-09-26 12:24:02
asu,com,192.155.108.155,Active,2025-09-26 12:24:02
as7,com,199.59.243.228,Active,2025-09-26 12:24:03
as8,com,166.117.110.61,99.83.161.153,Active,2025-09-26 12:24:03
asy,com,86.105.245.69,Active,2025-09-26 12:24:03
ata,com,199.60.103.53,199.60.103.153,Active,2025-09-26 12:24:03
as9,com,52.20.84.62,Active,2025-09-26 12:24:03
ate,com,3.33.243.145,15.197.204.56,Active,2025-09-26 12:24:03
atd,com,192.67.66.178,Active,2025-09-26 12:24:03
as5,com,182.92.208.59,Active,2025-09-26 12:24:03
ath,com,64.178.217.137,Active,2025-09-26 12:24:03
atc,com,3.33.224.147,Active,2025-09-26 12:24:03
apk,com,104.26.6.35,172.67.68.161,104.26.7.35,Active,2025-09-26 12:24:03
atm,com,76.76.21.21,Active,2025-09-26 12:24:04
atp,com,199.60.103.66,Active,2025-09-26 12:24:04
ap8,com,104.21.18.150,172.67.182.158,Active,2025-09-26 12:24:04
att,com,144.160.155.43,144.160.36.42,Active,2025-09-26 12:24:04
atr,com,15.197.167.22,Active,2025-09-26 12:24:05
ats,com,141.193.213.20,141.193.213.21,Active,2025-09-26 12:24:05
atv,com,45.77.153.86,149.28.56.211,Active,2025-09-26 12:24:05
aqx,com,188.114.96.4,188.114.97.4,Active,2025-09-26 12:24:05
aty,com,185.53.177.54,Active,2025-09-26 12:24:05
atz,com,15.197.225.128,3.33.251.168,Active,2025-09-26 12:24:06
at1,com,34.149.121.33,Active,2025-09-26 12:24:06
at3,com,203.80.136.205,Active,2025-09-26 12:24:06
at2,com,99.83.161.153,166.117.110.61,Active,2025-09-26 12:24:06
at0,com,3.33.243.145,15.197.204.56,Active,2025-09-26 12:24:06
at9,com,185.230.63.186,185.230.63.107,185.230.63.171,Active,2025-09-26 12:24:07
aub,com,15.197.225.128,3.33.251.168,Active,2025-09-26 12:24:07
at8,com,185.45.66.199,Active,2025-09-26 12:24:08
aud,com,99.83.161.153,166.117.110.61,Active,2025-09-26 12:24:08
aua,com,194.107.150.145,Active,2025-09-26 12:24:08
art,com,204.74.99.200,Active,2025-09-26 12:24:08
auc,com,52.5.220.241,Active,2025-09-26 12:24:08
auf,com,185.53.177.51,Active,2025-09-26 12:24:08
auj,com,64.190.63.222,Active,2025-09-26 12:24:08
aue,com,15.197.225.128,3.33.251.168,Active,2025-09-26 12:24:08
aui,com,198.252.104.151,Active,2025-09-26 12:24:08
auk,com,23.227.38.65,Active,2025-09-26 12:24:08
aug,com,173.199.122.30,Active,2025-09-26 12:24:08
aul,com,216.117.33.14,Active,2025-09-26 12:24:08
aup,com,52.40.42.113,44.232.173.249,Active,2025-09-26 12:24:08
auo,com,13.76.158.163,Active,2025-09-26 12:24:08
auq,com,185.53.178.52,Active,2025-09-26 12:24:09
aur,com,38.181.56.100,Active,2025-09-26 12:24:09
auu,com,64.207.184.140,Active,2025-09-26 12:24:09
as6,com,172.104.149.86,172.104.251.198,139.162.181.76,139.162.174.209,Active,2025-09-26 12:24:09
aum,com,74.208.14.186,Active,2025-09-26 12:24:09
auw,com,75.2.60.5,Active,2025-09-26 12:24:09
auv,com,13.248.169.48,76.223.54.146,Active,2025-09-26 12:24:09
aut,com,216.194.173.10,Active,2025-09-26 12:24:09
aux,com,49.12.149.224,Active,2025-09-26 12:24:09
auy,com,15.197.204.56,3.33.243.145,Active,2025-09-26 12:24:09
