second_level_domain,top_level_domain,ip_address,status,timestamp
ag2,com,104.200.30.107,Active,2025-09-26 12:23:04
ag5,com,162.159.135.42,Active,2025-09-26 12:23:04
aha,com,134.49.64.1,Active,2025-09-26 12:23:05
ag1,com,3.33.130.190,15.197.148.33,Active,2025-09-26 12:23:05
ag7,com,15.197.148.33,3.33.130.190,Active,2025-09-26 12:23:05
ag4,com,204.251.33.236,Active,2025-09-26 12:23:05
ahd,com,52.190.255.38,13.92.58.117,Active,2025-09-26 12:23:05
ahb,com,3.33.243.145,15.197.204.56,Active,2025-09-26 12:23:05
ag9,com,154.38.217.1,Active,2025-09-26 12:23:05
ag8,com,45.138.71.250,45.138.71.198,Active,2025-09-26 12:23:05
ag6,com,154.38.195.35,154.39.48.29,154.38.195.99,154.38.211.139,154.39.48.23,154.38.211.122,154.38.195.197,154.39.48.88,154.38.195.155,154.39.48.210,154.38.211.13,154.38.195.19,154.38.211.113,154.38.211.84,154.39.48.84,Active,2025-09-26 12:23:05
ahe,com,54.215.31.113,Active,2025-09-26 12:23:06
ahf,com,15.197.204.56,3.33.243.145,Active,2025-09-26 12:23:06
ahj,com,15.197.204.56,3.33.243.145,Active,2025-09-26 12:23:06
ahi,com,81.2.195.12,Active,2025-09-26 12:23:06
ahg,com,108.161.151.140,108.161.151.97,Active,2025-09-26 12:23:06
ahk,com,15.197.225.128,3.33.251.168,Active,2025-09-26 12:23:06
ahm,com,89.106.200.142,Active,2025-09-26 12:23:07
ahp,com,3.33.224.147,Active,2025-09-26 12:23:07
ahq,com,198.185.159.135,Active,2025-09-26 12:23:07
aaw,com,172.66.43.83,172.66.40.173,Active,2025-09-26 12:23:07
aaq,com,172.67.202.220,104.21.52.188,Active,2025-09-26 12:23:07
abq,com,104.21.40.151,172.67.152.236,Active,2025-09-26 12:23:07
acc,com,23.185.0.2,Active,2025-09-26 12:23:07
acu,com,104.21.8.80,172.67.130.96,Active,2025-09-26 12:23:07
acz,com,104.26.4.36,104.26.5.36,172.67.74.115,Active,2025-09-26 12:23:07
adm,com,217.114.94.2,Active,2025-09-26 12:23:07
ahr,com,15.197.225.128,3.33.251.168,Active,2025-09-26 12:23:07
ahz,com,64.190.63.222,Active,2025-09-26 12:23:07
aht,com,76.223.54.146,13.248.169.48,Active,2025-09-26 12:23:07
ahs,com,13.33.45.66,13.33.45.40,13.33.45.8,13.33.45.104,Active,2025-09-26 12:23:07
ahu,com,52.60.129.246,Active,2025-09-26 12:23:08
ahy,com,99.83.161.153,166.117.110.61,Active,2025-09-26 12:23:08
ah2,com,185.53.178.50,Active,2025-09-26 12:23:08
ah1,com,166.117.110.61,99.83.161.153,Active,2025-09-26 12:23:08
ah0,com,15.197.225.128,3.33.251.168,Active,2025-09-26 12:23:08
ah3,com,99.83.161.153,166.117.110.61,Active,2025-09-26 12:23:08
ahv,com,209.17.116.160,Active,2025-09-26 12:23:08
